"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.31218,0,-0.95002,1.8693e-05,-3.7391e-07,-0.0055
0.31712,0,-0.94839,1.8686e-05,3.7377e-07,-0.0055
0.31218,0,-0.95002,1.8693e-05,3.7391e-07,-0.0055
0.31712,0,-0.94839,1.8686e-05,-3.7377e-07,-0.0055
0.30128,0,-0.95353,1.9732e-05,-3.9468e-07,-0.0054997
0.30426,0,-0.95259,1.9732e-05,3.9468e-07,-0.0054997
0.2923,0,-0.95633,2.077e-05,-4.1546e-07,-0.0054993
0.2953,0,-0.9554,2.077e-05,4.1546e-07,-0.0054993
0.28483,0,-0.95858,2.1809e-05,-4.3623e-07,-0.005499
0.28706,0,-0.95791,2.1809e-05,4.3623e-07,-0.005499
0.28206,0,-0.9594,2.2847e-05,-4.57e-07,-0.0054987
0.28233,0,-0.95932,2.2847e-05,4.57e-07,-0.0054987
0.28837,0,-0.95752,2.3885e-05,-4.7778e-07,-0.0054984
0.28509,0,-0.9585,2.3885e-05,4.7778e-07,-0.0054984
0.30749,0,-0.95155,2.4924e-05,-4.9855e-07,-0.0054981
0.29958,0,-0.95407,2.4924e-05,4.9855e-07,-0.0054981
0.28005,0,-0.95999,2.5214e-05,5.0435e-07,-0.005498
0.28005,0,-0.95999,2.5214e-05,-5.0435e-07,-0.005498
0.24618,0,-0.96923,2.5962e-05,-5.1932e-07,-0.0054978
0.24618,0,-0.96923,2.5962e-05,5.1932e-07,-0.0054978
0.24993,0,-0.96826,2.7001e-05,-5.4009e-07,-0.0054975
0.24897,0,-0.96851,2.7001e-05,5.4009e-07,-0.0054975
0.25656,0,-0.96653,2.804e-05,-5.6087e-07,-0.0054973
0.25372,0,-0.96728,2.804e-05,5.6087e-07,-0.0054973
0.26957,0,-0.96298,2.9078e-05,-5.8164e-07,-0.005497
0.26449,0,-0.96439,2.9078e-05,5.8164e-07,-0.005497
0.29278,0,-0.95618,3.0117e-05,-6.0241e-07,-0.0054967
0.28372,0,-0.95891,3.0117e-05,6.0241e-07,-0.0054967
0.33525,0,-0.94213,3.1155e-05,-6.2318e-07,-0.0054964
0.31858,0,-0.9479,3.1155e-05,6.2318e-07,-0.0054964
0.36657,0,-0.93039,3.2145e-05,6.4299e-07,-0.005496
0.36657,0,-0.93039,3.2145e-05,-6.4299e-07,-0.005496
0.3727,0,-0.92795,3.2194e-05,-6.4396e-07,-0.005496
0.3727,0,-0.92795,3.2194e-05,6.4396e-07,-0.005496
-0.39472,0,0.9188,2.077e-06,-4.1546e-08,-0.0054668
-0.32613,0,0.94532,2.077e-06,4.1546e-08,-0.0054668
-0.19742,0,0.98032,1.0385e-06,-2.0773e-08,-0.0054671
-0.16766,0,0.98584,1.0385e-06,2.0773e-08,-0.0054671
-0.65374,0,0.75672,3.1155e-06,-6.2318e-08,-0.0054663
-0.56044,0,0.82819,3.1155e-06,6.2318e-08,-0.0054663
-0.75594,0,0.65465,3.391e-06,6.7829e-08,-0.005466
-0.75594,0,0.65465,3.391e-06,-6.7829e-08,-0.005466
-0.81963,0,0.57289,4.154e-06,-8.3091e-08,-0.0054651
-0.81963,0,0.57289,4.154e-06,8.3091e-08,-0.0054651
-0.9075,0,0.42006,4.7859e-06,9.573e-08,-0.005464
-0.9075,0,0.42006,4.7859e-06,-9.573e-08,-0.005464
-0.95579,0,0.29404,5.1925e-06,-1.0386e-07,-0.0054628
-0.95579,0,0.29404,5.1925e-06,1.0386e-07,-0.0054628
-0.98549,0,0.16973,5.4151e-06,1.0832e-07,-0.005462
-0.99715,0,0.075402,5.4151e-06,-1.0832e-07,-0.005462
-0.97124,0,-0.2381,5.3776e-06,-1.0757e-07,-0.00546
-0.9917,0,-0.12855,5.3776e-06,1.0757e-07,-0.00546
-0.577,0,-0.81674,4.1058e-06,-8.2127e-08,-0.005458
-0.577,0,-0.81674,4.1058e-06,8.2127e-08,-0.005458
-0.69483,0,-0.71917,4.154e-06,8.3091e-08,-0.005458
-0.75886,0,-0.65125,4.154e-06,-8.3091e-08,-0.005458
-0.88532,0,-0.46498,5.1925e-06,-1.0386e-07,-0.0054595
-0.88532,0,-0.46498,5.1925e-06,1.0386e-07,-0.0054595
-0.30458,0,-0.95249,2.077e-06,-4.1546e-08,-0.005457
-0.16763,0,-0.98585,1.0385e-06,-2.0773e-08,-0.0054568
-0.26189,0,-0.9651,2.077e-06,4.1546e-08,-0.005457
-0.14181,0,-0.98989,1.0385e-06,2.0773e-08,-0.0054568
-0.43875,0,-0.89861,3.1155e-06,-6.2318e-08,-0.0054574
-0.43875,0,-0.89861,3.1155e-06,6.2318e-08,-0.0054574
-0.2472,0,0.96896,2.077e-06,-4.1546e-08,-0.0054188
-0.20172,0,0.97944,2.077e-06,4.1546e-08,-0.0054188
-0.1211,0,0.99264,1.0385e-06,-2.0773e-08,-0.0054189
-0.10362,0,0.99462,1.0385e-06,2.0773e-08,-0.0054189
-0.40837,0,0.91282,3.1155e-06,-6.2318e-08,-0.0054184
